95,1142016-02139,1,41116,5213700,39.17,-86.53,7,108,229.70,0.09,33,21.57,322.41,NW
96,1142016-0225,1,41116,5220300,39.17,-86.53,8,100,229.70,0.07,17,20.57,322.57,NW
97,1142016-02231,1,41116,5222900,39.17,-86.53,8,100,229.70,0.13,359,19.38,319.84,NW
98,1142016-02257,1,41116,5225500,39.17,-86.53,7,99,229.80,0.05,205,17.97,315.93,NW
99,1142016-02323,1,41116,5232100,39.17,-86.53,7,99,229.80,0.07,151,18.09,319.11,NW
100,1142016-02349,1,41116,5234800,39.17,-86.53,6,112,229.70,0.08,287,18.98,316.10,NW
101,1142016-02416,1,41116,5241400,39.17,-86.53,6,112,229.60,0.12,23,18.98,316.10,NW
102,1142016-02442,1,41116,5244000,39.17,-86.53,7,99,229.60,0.14,149,18.39,317.17,NW
103,1142016-0258,1,41116,5250600,39.17,-86.53,7,99,229.50,0.06,154,20.68,320.48,NW
104,1142016-02534,1,41116,5253200,39.17,-86.53,7,99,229.50,0.06,349,21.79,325.00,NW
105,1142016-0260,1,41116,5255800,39.17,-86.53,8,98,228.90,0.07,89,17.41,322.79,NW
106,1142016-02626,1,41116,5262400,39.17,-86.53,8,98,228.80,0.06,159,20.26,317.00,NW
107,1142016-02652,1,41116,5265000,39.17,-86.53,8,98,228.80,0.19,220,22.54,320.05,NW
108,1142016-02718,1,41116,5271600,39.17,-86.53,8,98,228.70,0.09,263,21.97,318.78,NW
109,1142016-02744,1,41116,5274200,39.17,-86.53,8,98,228.70,0.08,52,21.65,313.17,NW
110,1142016-02810,1,41116,5280800,39.17,-86.53,8,98,228.70,0.08,88,22.77,308.72,NW
111,1142016-02836,1,41116,5283400,39.17,-86.53,7,109,228.50,0.11,321,19.53,312.16,NW
112,1142016-0292,1,41116,5290000,39.17,-86.53,7,109,228.60,0.09,210,18.39,317.17,NW
113,1142016-02929,1,41116,5292600,39.17,-86.53,7,109,228.60,0.21,221,18.95,318.73,NW
114,1142016-02955,1,41116,5295200,39.17,-86.53,7,110,228.40,0.09,115,21.90,327.27,NNW
115,1142016-03021,1,41116,5301900,39.17,-86.53,7,110,228.30,0.10,146,23.73,326.33,NNW
116,1142016-03047,1,41116,5304500,39.17,-86.53,7,110,228.40,0.02,155,26.04,326.24,NW
